question,segment_type,segment_description,answer,count,percentage
Best stories on Snapchat discover?,University,"Westport, CT",Vice,0,0.0
Best stories on Snapchat discover?,University,"Westport, CT",Buzzfeed,1,0.5
Best stories on Snapchat discover?,University,"Westport, CT",Comedy Central,1,0.5
Best stories on Snapchat discover?,University,"Westport, CT",People,0,0.0
Best stories on Snapchat discover?,University,"Westport, CT",ESPN,0,0.0
Best stories on Snapchat discover?,University,"Westport, CT",Cosmo,0,0.0
Best stories on Snapchat discover?,University,"Westport, CT",Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,University of Buffalo,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Buffalo,Vice,0,0.0
Best stories on Snapchat discover?,University,University of Buffalo,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,University of Buffalo,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of Buffalo,People,0,0.0
Best stories on Snapchat discover?,University,University of Buffalo,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of Buffalo,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of Buffalo,Never watched those / other,1,1.0
Best stories on Snapchat discover?,University,University of Toronto,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Toronto,Vice,0,0.0
Best stories on Snapchat discover?,University,University of Toronto,Buzzfeed,1,0.2
Best stories on Snapchat discover?,University,University of Toronto,Comedy Central,1,0.2
Best stories on Snapchat discover?,University,University of Toronto,People,0,0.0
Best stories on Snapchat discover?,University,University of Toronto,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of Toronto,Cosmo,1,0.2
Best stories on Snapchat discover?,University,University of Toronto,Never watched those / other,2,0.4
Best stories on Snapchat discover?,University,Memorial University of Newfoundland,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Memorial University of Newfoundland,Vice,0,0.0
Best stories on Snapchat discover?,University,Memorial University of Newfoundland,Buzzfeed,2,1.0
Best stories on Snapchat discover?,University,Memorial University of Newfoundland,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Memorial University of Newfoundland,People,0,0.0
Best stories on Snapchat discover?,University,Memorial University of Newfoundland,ESPN,0,0.0
Best stories on Snapchat discover?,University,Memorial University of Newfoundland,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Memorial University of Newfoundland,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,University of North Dakota,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of North Dakota,Vice,0,0.0
Best stories on Snapchat discover?,University,University of North Dakota,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,University of North Dakota,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of North Dakota,People,0,0.0
Best stories on Snapchat discover?,University,University of North Dakota,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of North Dakota,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of North Dakota,Never watched those / other,1,1.0
Best stories on Snapchat discover?,University,University of Virginia,Daily Mail,14,0.041
Best stories on Snapchat discover?,University,University of Virginia,Vice,20,0.059
Best stories on Snapchat discover?,University,University of Virginia,Buzzfeed,65,0.192
Best stories on Snapchat discover?,University,University of Virginia,Comedy Central,25,0.074
Best stories on Snapchat discover?,University,University of Virginia,People,6,0.018
Best stories on Snapchat discover?,University,University of Virginia,ESPN,53,0.156
Best stories on Snapchat discover?,University,University of Virginia,Cosmo,54,0.159
Best stories on Snapchat discover?,University,University of Virginia,Never watched those / other,102,0.301
Best stories on Snapchat discover?,University,Stony Brook University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Stony Brook University,Vice,1,1.0
Best stories on Snapchat discover?,University,Stony Brook University,Buzzfeed,0,0.0
